,precision,recall,f1-score,support
88,0.9452054794520548,0.42073170731707316,0.5822784810126582,164.0
89,0.8518518518518519,0.3709677419354839,0.5168539325842697,62.0
90,0.7222222222222222,0.6964285714285714,0.7090909090909091,56.0
91,0.7551020408163265,0.8043478260869565,0.7789473684210526,46.0
92,0.36065573770491804,0.8461538461538461,0.5057471264367817,26.0
93,0.6989247311827957,0.9154929577464789,0.7926829268292683,142.0
94,0.7922077922077922,0.5648148148148148,0.6594594594594595,108.0
95,0.6666666666666666,0.36619718309859156,0.4727272727272727,71.0
96,0.4583333333333333,0.717391304347826,0.559322033898305,46.0
97,0.7547169811320755,0.6451612903225806,0.6956521739130435,62.0
98,0.5806451612903226,0.8372093023255814,0.6857142857142857,43.0
99,0.75,0.8275862068965517,0.7868852459016393,29.0
100,0.7428571428571429,0.6842105263157895,0.7123287671232876,38.0
101,0.6,0.9642857142857143,0.7397260273972602,28.0
accuracy,0.7171897869572288,0.7171897869572288,0.7171897869572288,0.7171897869572288
macro avg,0.7115357196815092,0.7480034660158054,0.699491675781865,6149.0
weighted avg,0.7729044845891505,0.7171897869572288,0.7108877533360821,6149.0
